"PLAN_INDEX","TOOL_IDENTIFIER","COUNTRY","COUNT"
"1015","CC BY 4.0","Haiti","25"
"1016","CC BY 4.0","Heard Island and Mcdonald Islands","0"
"1017","CC BY 4.0","Holy See (Vatican City State)","62"
"1018","CC BY 4.0","Honduras","95"
"1019","CC BY 4.0","Hong Kong","46800"
"1020","CC BY 4.0","Hungary","18500"
"1021","CC BY 4.0","Iceland","6890"
"1022","CC BY 4.0","India","163000"
"1023","CC BY 4.0","Indonesia","286000"
"1024","CC BY 4.0","Iran, Islamic Republic of","109000"
"1025","CC BY 4.0","Iraq","31300"
"1026","CC BY 4.0","Ireland","118000"
"1027","CC BY 4.0","Israel","9980"
"1028","CC BY 4.0","Italy","238000"
"1029","CC BY 4.0","Jamaica","91"
"1030","CC BY 4.0","Japan","126000"
"1031","CC BY 4.0","Jordan","1150"
"1032","CC BY 4.0","Kazakhstan","3500"
"1033","CC BY 4.0","Kenya","6060"
"1034","CC BY 4.0","Kiribati","2"
"1035","CC BY 4.0","Korea, Democratic People's Republic of","0"
"1036","CC BY 4.0","Korea, Republic of","148000"
"1037","CC BY 4.0","Kuwait","71"
"1038","CC BY 4.0","Kyrgyzstan","113"
"1039","CC BY 4.0","Lao People's Democratic Republic","7"
"1040","CC BY 4.0","Latvia","3320"
"1041","CC BY 4.0","Lebanon","1890"
"1042","CC BY 4.0","Lesotho","102"
"1043","CC BY 4.0","Liberia","5"
"1044","CC BY 4.0","Libyan Arab Jamahiriya","4300"
"1045","CC BY 4.0","Liechtenstein","52"
"1046","CC BY 4.0","Lithuania","28300"
"1047","CC BY 4.0","Luxembourg","12800"
"1048","CC BY 4.0","Macao","49"
"1049","CC BY 4.0","Macedonia, the Former Yugosalv Republic of","1050"
"1050","CC BY 4.0","Madagascar","2970"
"1051","CC BY 4.0","Malawi","327"
"1052","CC BY 4.0","Malaysia","19100"
"1053","CC BY 4.0","Maldives","96"
"1054","CC BY 4.0","Mali","16"
"1055","CC BY 4.0","Malta","1740"
"1056","CC BY 4.0","Marshall Islands","0"
"1057","CC BY 4.0","Martinique","4"
"1058","CC BY 4.0","Mauritania","4"
"1059","CC BY 4.0","Mauritius","46"
"1060","CC BY 4.0","Mayotte","0"
"1061","CC BY 4.0","Mexico","55700"
"1062","CC BY 4.0","Micronesia, Federated States of","6"
"1063","CC BY 4.0","Moldova, Republic of","1830"
"1064","CC BY 4.0","Monaco","7"
"1065","CC BY 4.0","Mongolia","75"
"1066","CC BY 4.0","Montserrat","0"
"1067","CC BY 4.0","Morocco","750"
"1068","CC BY 4.0","Mozambique","246"
"1069","CC BY 4.0","Myanmar","81"
"1070","CC BY 4.0","Namibia","317"
"1071","CC BY 4.0","Nauru","1"
"1072","CC BY 4.0","Nepal","3950"
"1073","CC BY 4.0","Netherlands","208000"
"1074","CC BY 4.0","Netherlands Antilles","0"
"1075","CC BY 4.0","New Caledonia","20"
"1076","CC BY 4.0","New Zealand","33700"
"1077","CC BY 4.0","Nicaragua","19400"
"1078","CC BY 4.0","Niger","8"
"1079","CC BY 4.0","Nigeria","22900"
"1080","CC BY 4.0","Niue","1"
"1081","CC BY 4.0","Norfolk Island","3"
"1082","CC BY 4.0","Northern Mariana Islands","2"
"1083","CC BY 4.0","Norway","25500"
"1084","CC BY 4.0","Oman","2040"
"1085","CC BY 4.0","Pakistan","13600"
"1086","CC BY 4.0","Palau","3"
"1087","CC BY 4.0","Palestinian Territory","340"
"1088","CC BY 4.0","Panama","2860"
"1089","CC BY 4.0","Papua New Guinea","354"
"1090","CC BY 4.0","Paraguay","1090"
"1091","CC BY 4.0","Peru","51800"
"1092","CC BY 4.0","Philippines","8170"
"1093","CC BY 4.0","Pitcairn","0"
"1094","CC BY 4.0","Poland","215000"
"1095","CC BY 4.0","Portugal","28600"
"1096","CC BY 4.0","Puerto Rico","322"
"1097","CC BY 4.0","Qatar","6760"
"1098","CC BY 4.0","Reunion","2640"
"1099","CC BY 4.0","Romania","12400"
"1100","CC BY 4.0","Russian Federation","126000"
"1101","CC BY 4.0","Rwanda","2870"
"1102","CC BY 4.0","Saint Helena","32"
"1103","CC BY 4.0","Saint Kitts and Nevis","2"
"1104","CC BY 4.0","Saint Lucia","5"
"1105","CC BY 4.0","Saint Pierre and Miquelon","5"
"1106","CC BY 4.0","Saint Vincent and the Grenadines","5"
"1107","CC BY 4.0","Samoa","95"
"1108","CC BY 4.0","San Marino","8"
"1109","CC BY 4.0","Sao Tome and Principe","30"
"1110","CC BY 4.0","Saudi Arabia","7670"
"1111","CC BY 4.0","Senegal","51"
"1112","CC BY 4.0","Serbia and Montenegro","367000000"
"1113","CC BY 4.0","Seychelles","1"
"1114","CC BY 4.0","Sierra Leone","42"
"1115","CC BY 4.0","Singapore","62600"
"1116","CC BY 4.0","Slovakia","5380"
"1117","CC BY 4.0","Slovenia","83900"
"1118","CC BY 4.0","Solomon Islands","5"
"1119","CC BY 4.0","Somalia","3320"
"1120","CC BY 4.0","South Africa","110000"
"1121","CC BY 4.0","South Georgia and the South Sandwich Islands","1"
"1122","CC BY 4.0","Spain","216000"
"1123","CC BY 4.0","Sri Lanka","1450"
"1124","CC BY 4.0","Sudan","40"
"1125","CC BY 4.0","Suriname","4"
"1126","CC BY 4.0","Svalbard and Jan Mayen","0"
"1127","CC BY 4.0","Swaziland","7"
"1128","CC BY 4.0","Sweden","68700"
"1129","CC BY 4.0","Switzerland","205000"
"1130","CC BY 4.0","Syrian Arab Republic","475"
"1131","CC BY 4.0","Taiwan, Province of China","5730"
"1132","CC BY 4.0","Tajikistan","294"
"1133","CC BY 4.0","Tanzania, United Republic of","1390"
"1134","CC BY 4.0","Thailand","9410"
"1135","CC BY 4.0","Togo","20"
"1136","CC BY 4.0","Tokelau","0"
"1137","CC BY 4.0","Tonga","448"
"1138","CC BY 4.0","Trinidad and Tobago","80"
"1139","CC BY 4.0","Tunisia","547"
"1140","CC BY 4.0","Turkey","95900"
"1141","CC BY 4.0","Turkmenistan","6"
"1142","CC BY 4.0","Turks and Caicos Islands","2"
"1143","CC BY 4.0","Tuvalu","1"
"1144","CC BY 4.0","Uganda","5060"
"1145","CC BY 4.0","Ukraine","39700"
"1146","CC BY 4.0","United Arab Emirates","3600"
"1147","CC BY 4.0","United Kingdom","4670000"
"1148","CC BY 4.0","United States","365000000"
"1149","CC BY 4.0","United States Minor Outlying Islands","0"
"1150","CC BY 4.0","Uruguay","3000"
"1151","CC BY 4.0","Uzbekistan","5510"
"1152","CC BY 4.0","Vanuatu","4"
"1153","CC BY 4.0","Venezuela","8320"
"1154","CC BY 4.0","Vietnam","14800"
"1155","CC BY 4.0","Virgin Islands, British","1430"
"1156","CC BY 4.0","Virgin Islands, U.S.","3490"
"1157","CC BY 4.0","Wallis and Futuna","3"
"1158","CC BY 4.0","Western Sahara","0"
"1159","CC BY 4.0","Yemen","552"
"1160","CC BY 4.0","Yugoslavia","0"
"1161","CC BY 4.0","Zambia","3570"
"1162","CC BY 4.0","Zimbabwe","691"
"1163","CC BY-NC 4.0","Afghanistan","111"
"1164","CC BY-NC 4.0","Albania","92"
"1165","CC BY-NC 4.0","Algeria","829"
"1166","CC BY-NC 4.0","American Samoa","0"
"1167","CC BY-NC 4.0","Andorra","4"
"1168","CC BY-NC 4.0","Angola","118"
"1169","CC BY-NC 4.0","Anguilla","0"
"1170","CC BY-NC 4.0","Antarctica","2"
"1171","CC BY-NC 4.0","Antigua and Barbuda","0"
"1172","CC BY-NC 4.0","Argentina","39400"
"1173","CC BY-NC 4.0","Armenia","233"
"1174","CC BY-NC 4.0","Aruba","20300"
"1175","CC BY-NC 4.0","Australia","62100"
"1176","CC BY-NC 4.0","Austria","8230"
"1177","CC BY-NC 4.0","Azerbaijan","610"
"1178","CC BY-NC 4.0","Bahamas","3"
"1179","CC BY-NC 4.0","Bahrain","11"
"1180","CC BY-NC 4.0","Bangladesh","379"
"1181","CC BY-NC 4.0","Barbados","3"
"1182","CC BY-NC 4.0","Belarus","78"
"1183","CC BY-NC 4.0","Belgium","22900"
"1184","CC BY-NC 4.0","Belize","3"
"1185","CC BY-NC 4.0","Benin","8"
"1186","CC BY-NC 4.0","Bermuda","2"
"1187","CC BY-NC 4.0","Bhutan","27"
"1188","CC BY-NC 4.0","Bolivia","83"
"1189","CC BY-NC 4.0","Bosnia and Herzegovina","435"
"1190","CC BY-NC 4.0","Botswana","56"
"1191","CC BY-NC 4.0","Bouvet Island","0"
"1192","CC BY-NC 4.0","Brazil","204000"
"1193","CC BY-NC 4.0","British Indian Ocean Territory","0"
"1194","CC BY-NC 4.0","Brunei Darussalam","14"
"1195","CC BY-NC 4.0","Bulgaria","1540"
"1196","CC BY-NC 4.0","Burkina Faso","38"
"1197","CC BY-NC 4.0","Burundi","1"
"1198","CC BY-NC 4.0","Cambodia","693"
"1199","CC BY-NC 4.0","Cameroon","6"
"1200","CC BY-NC 4.0","Canada","58700"
"1201","CC BY-NC 4.0","Cape Verde","3"
"1202","CC BY-NC 4.0","Cayman Islands","1"
"1203","CC BY-NC 4.0","Central African Republic","0"
"1204","CC BY-NC 4.0","Chad","1"
"1205","CC BY-NC 4.0","Chile","4350"
"1206","CC BY-NC 4.0","China","40500"
"1207","CC BY-NC 4.0","Christmas Island","1"
"1208","CC BY-NC 4.0","Cocos (Keeling) Islands","0"
"1209","CC BY-NC 4.0","Colombia","24000"
"1210","CC BY-NC 4.0","Comoros","0"
"1211","CC BY-NC 4.0","Congo","16"
"1212","CC BY-NC 4.0","Congo, the Democratic Republic of the","12"
"1213","CC BY-NC 4.0","Cook Islands","7"
"1214","CC BY-NC 4.0","Costa Rica","4190"
"1215","CC BY-NC 4.0","Cote D'ivoire","0"
"1216","CC BY-NC 4.0","Croatia (Hrvatska)","4490"
"1217","CC BY-NC 4.0","Cuba","5020"
"1218","CC BY-NC 4.0","Cyprus","4740"
"1219","CC BY-NC 4.0","Czech Republic","10500"
"1220","CC BY-NC 4.0","Denmark","16800"
"1221","CC BY-NC 4.0","Djibouti","3"
"1222","CC BY-NC 4.0","Dominica","0"
"1223","CC BY-NC 4.0","Dominican Republic","101"
"1224","CC BY-NC 4.0","East Timor","0"
"1225","CC BY-NC 4.0","Ecuador","28000"
"1226","CC BY-NC 4.0","Egypt","817"
"1227","CC BY-NC 4.0","El Salvador","251"
"1228","CC BY-NC 4.0","Equatorial Guinea","0"
"1229","CC BY-NC 4.0","Eritrea","0"
"1230","CC BY-NC 4.0","Estonia","1450"
"1231","CC BY-NC 4.0","Ethiopia","584"
"1232","CC BY-NC 4.0","European Union","0"
"1233","CC BY-NC 4.0","Falkland Islands (Malvinas)","0"
"1234","CC BY-NC 4.0","Faroe Islands","54"
"1235","CC BY-NC 4.0","Fiji","71"
"1236","CC BY-NC 4.0","Finland","25200"
"1237","CC BY-NC 4.0","France","121000"
"1238","CC BY-NC 4.0","France, Metropolitan","0"
"1239","CC BY-NC 4.0","French Guiana","0"
"1240","CC BY-NC 4.0","French Polynesia","3"
"1241","CC BY-NC 4.0","French Southern Territories","0"
"1242","CC BY-NC 4.0","Gabon","0"
"1243","CC BY-NC 4.0","Gambia","6"
"1244","CC BY-NC 4.0","Georgia","102"
"1245","CC BY-NC 4.0","Germany","263000"
"1246","CC BY-NC 4.0","Ghana","2430"
"1247","CC BY-NC 4.0","Gibraltar","3"
"1248","CC BY-NC 4.0","Greece","5680"
"1249","CC BY-NC 4.0","Greenland","9"
"1250","CC BY-NC 4.0","Grenada","3"
"1251","CC BY-NC 4.0","Guadeloupe","0"
"1252","CC BY-NC 4.0","Guam","0"
"1253","CC BY-NC 4.0","Guatemala","101"
"1254","CC BY-NC 4.0","Guinea","0"
"1255","CC BY-NC 4.0","Guinea-Bissau","2"
"1256","CC BY-NC 4.0","Guyana","2"
"1257","CC BY-NC 4.0","Haiti","3"
"1258","CC BY-NC 4.0","Heard Island and Mcdonald Islands","0"
"1259","CC BY-NC 4.0","Holy See (Vatican City State)","2"
"1260","CC BY-NC 4.0","Honduras","32"
"1261","CC BY-NC 4.0","Hong Kong","17600"
"1262","CC BY-NC 4.0","Hungary","7260"
"1263","CC BY-NC 4.0","Iceland","4480"
"1264","CC BY-NC 4.0","India","33800"
"1265","CC BY-NC 4.0","Indonesia","37000"
"1266","CC BY-NC 4.0","Iran, Islamic Republic of","45700"
"1267","CC BY-NC 4.0","Iraq","3800"
"1268","CC BY-NC 4.0","Ireland","42000"
"1269","CC BY-NC 4.0","Israel","1010"
"1270","CC BY-NC 4.0","Italy","59100"
"1271","CC BY-NC 4.0","Jamaica","5"
"1272","CC BY-NC 4.0","Japan","57500"
"1273","CC BY-NC 4.0","Jordan","580"
"1274","CC BY-NC 4.0","Kazakhstan","1120"
"1275","CC BY-NC 4.0","Kenya","2770"
"1276","CC BY-NC 4.0","Kiribati","2"
"1277","CC BY-NC 4.0","Korea, Democratic People's Republic of","0"
"1278","CC BY-NC 4.0","Korea, Republic of","132000"
"1279","CC BY-NC 4.0","Kuwait","30"
"1280","CC BY-NC 4.0","Kyrgyzstan","23"
"1281","CC BY-NC 4.0","Lao People's Democratic Republic","0"
"1282","CC BY-NC 4.0","Latvia","783"
"1283","CC BY-NC 4.0","Lebanon","838"
"1284","CC BY-NC 4.0","Lesotho","5"
"1285","CC BY-NC 4.0","Liberia","0"
"1286","CC BY-NC 4.0","Libyan Arab Jamahiriya","635"
"1287","CC BY-NC 4.0","Liechtenstein","10"
"1288","CC BY-NC 4.0","Lithuania","4840"
"1289","CC BY-NC 4.0","Luxembourg","1190"
"1290","CC BY-NC 4.0","Macao","17"
"1291","CC BY-NC 4.0","Macedonia, the Former Yugosalv Republic of","147"
"1292","CC BY-NC 4.0","Madagascar","10"
"1293","CC BY-NC 4.0","Malawi","98"
"1294","CC BY-NC 4.0","Malaysia","6110"
"1295","CC BY-NC 4.0","Maldives","21"
"1296","CC BY-NC 4.0","Mali","1"
"1297","CC BY-NC 4.0","Malta","615"
"1298","CC BY-NC 4.0","Marshall Islands","0"
"1299","CC BY-NC 4.0","Martinique","0"
"1300","CC BY-NC 4.0","Mauritania","20"
"1301","CC BY-NC 4.0","Mauritius","9"
"1302","CC BY-NC 4.0","Mayotte","0"
"1303","CC BY-NC 4.0","Mexico","30300"
"1304","CC BY-NC 4.0","Micronesia, Federated States of","0"
"1305","CC BY-NC 4.0","Moldova, Republic of","186"
"1306","CC BY-NC 4.0","Monaco","4"
"1307","CC BY-NC 4.0","Mongolia","23"
"1308","CC BY-NC 4.0","Montserrat","0"
"1309","CC BY-NC 4.0","Morocco","263"
"1310","CC BY-NC 4.0","Mozambique","59"
"1311","CC BY-NC 4.0","Myanmar","20"
"1312","CC BY-NC 4.0","Namibia","31"
"1313","CC BY-NC 4.0","Nauru","0"
"1314","CC BY-NC 4.0","Nepal","1350"
"1315","CC BY-NC 4.0","Netherlands","59900"
"1316","CC BY-NC 4.0","Netherlands Antilles","0"
"1317","CC BY-NC 4.0","New Caledonia","30"
"1318","CC BY-NC 4.0","New Zealand","11800"
"1319","CC BY-NC 4.0","Nicaragua","17700"
"1320","CC BY-NC 4.0","Niger","3"
"1321","CC BY-NC 4.0","Nigeria","8710"
"1322","CC BY-NC 4.0","Niue","0"
"1323","CC BY-NC 4.0","Norfolk Island","2"
"1324","CC BY-NC 4.0","Northern Mariana Islands","0"
"1325","CC BY-NC 4.0","Norway","11100"
"1326","CC BY-NC 4.0","Oman","82"
"1327","CC BY-NC 4.0","Pakistan","2470"
"1328","CC BY-NC 4.0","Palau","0"
"1329","CC BY-NC 4.0","Palestinian Territory","62"
"1330","CC BY-NC 4.0","Panama","2120"
"1331","CC BY-NC 4.0","Papua New Guinea","17"
"1332","CC BY-NC 4.0","Paraguay","52"
"1333","CC BY-NC 4.0","Peru","22300"
"1334","CC BY-NC 4.0","Philippines","2320"
"1335","CC BY-NC 4.0","Pitcairn","0"
"1336","CC BY-NC 4.0","Poland","62200"
"1337","CC BY-NC 4.0","Portugal","11100"
"1338","CC BY-NC 4.0","Puerto Rico","52"
"1339","CC BY-NC 4.0","Qatar","1540"
"1340","CC BY-NC 4.0","Reunion","1630"
"1341","CC BY-NC 4.0","Romania","4570"
"1342","CC BY-NC 4.0","Russian Federation","21500"
"1343","CC BY-NC 4.0","Rwanda","176"
"1344","CC BY-NC 4.0","Saint Helena","8"
"1345","CC BY-NC 4.0","Saint Kitts and Nevis","0"
"1346","CC BY-NC 4.0","Saint Lucia","2"
"1347","CC BY-NC 4.0","Saint Pierre and Miquelon","6"
"1348","CC BY-NC 4.0","Saint Vincent and the Grenadines","2"
"1349","CC BY-NC 4.0","Samoa","8"
"1350","CC BY-NC 4.0","San Marino","1"
"1351","CC BY-NC 4.0","Sao Tome and Principe","4"
"1352","CC BY-NC 4.0","Saudi Arabia","3400"
"1353","CC BY-NC 4.0","Senegal","8"
"1354","CC BY-NC 4.0","Serbia and Montenegro","179000000"
"1355","CC BY-NC 4.0","Seychelles","1"
"1356","CC BY-NC 4.0","Sierra Leone","8"
"1357","CC BY-NC 4.0","Singapore","11700"
"1358","CC BY-NC 4.0","Slovakia","955"
"1359","CC BY-NC 4.0","Slovenia","27400"
"1360","CC BY-NC 4.0","Solomon Islands","2"
"1361","CC BY-NC 4.0","Somalia","128"
"1362","CC BY-NC 4.0","South Africa","46500"
"1363","CC BY-NC 4.0","South Georgia and the South Sandwich Islands","0"
"1364","CC BY-NC 4.0","Spain","91400"
"1365","CC BY-NC 4.0","Sri Lanka","228"
"1366","CC BY-NC 4.0","Sudan","7"
"1367","CC BY-NC 4.0","Suriname","0"
"1368","CC BY-NC 4.0","Svalbard and Jan Mayen","0"
"1369","CC BY-NC 4.0","Swaziland","0"
"1370","CC BY-NC 4.0","Sweden","23000"
"1371","CC BY-NC 4.0","Switzerland","56600"
"1372","CC BY-NC 4.0","Syrian Arab Republic","139"
"1373","CC BY-NC 4.0","Taiwan, Province of China","2020"
"1374","CC BY-NC 4.0","Tajikistan","5"
"1375","CC BY-NC 4.0","Tanzania, United Republic of","308"
"1376","CC BY-NC 4.0","Thailand","3810"
"1377","CC BY-NC 4.0","Togo","6"
"1378","CC BY-NC 4.0","Tokelau","0"
"1379","CC BY-NC 4.0","Tonga","97"
"1380","CC BY-NC 4.0","Trinidad and Tobago","35"
"1381","CC BY-NC 4.0","Tunisia","79"
"1382","CC BY-NC 4.0","Turkey","39900"
"1383","CC BY-NC 4.0","Turkmenistan","1"
"1384","CC BY-NC 4.0","Turks and Caicos Islands","0"
"1385","CC BY-NC 4.0","Tuvalu","0"
"1386","CC BY-NC 4.0","Uganda","828"
"1387","CC BY-NC 4.0","Ukraine","6690"
"1388","CC BY-NC 4.0","United Arab Emirates","686"
"1389","CC BY-NC 4.0","United Kingdom","260000"
"1390","CC BY-NC 4.0","United States","148000000"
"1391","CC BY-NC 4.0","United States Minor Outlying Islands","0"
"1392","CC BY-NC 4.0","Uruguay","727"
"1393","CC BY-NC 4.0","Uzbekistan","160"
"1394","CC BY-NC 4.0","Vanuatu","2"
"1395","CC BY-NC 4.0","Venezuela","5420"
"1396","CC BY-NC 4.0","Vietnam","4600"
"1397","CC BY-NC 4.0","Virgin Islands, British","76"
"1398","CC BY-NC 4.0","Virgin Islands, U.S.","1680"
"1399","CC BY-NC 4.0","Wallis and Futuna","3"
"1400","CC BY-NC 4.0","Western Sahara","0"
"1401","CC BY-NC 4.0","Yemen","57"
"1402","CC BY-NC 4.0","Yugoslavia","0"
"1403","CC BY-NC 4.0","Zambia","53"
"1404","CC BY-NC 4.0","Zimbabwe","53"
"1405","CC BY-NC-ND 4.0","Afghanistan","108"
"1406","CC BY-NC-ND 4.0","Albania","88"
"1407","CC BY-NC-ND 4.0","Algeria","822"
"1408","CC BY-NC-ND 4.0","American Samoa","0"
"1409","CC BY-NC-ND 4.0","Andorra","3"
"1410","CC BY-NC-ND 4.0","Angola","122"
"1411","CC BY-NC-ND 4.0","Anguilla","0"
"1412","CC BY-NC-ND 4.0","Antarctica","2"
